DOI,Title,Category,Description
10.1145/3722237.3722268,Agent4EDU: Advancing AI for Education with Agentic Workflows,Artificial Intelligence in Education,"The paper introduces the Agent4EDU framework, which leverages large language models to create agentic workflows for educational applications. It outlines four application models based on agency and interaction levels, enhancing AI's role in education through human-AI collaboration and multi-agent systems, thereby advancing the field of AI for education."
10.1145/3722237.3722245,ChatGPT Empowers Higher Education: —Research Topics Hotspots and Quantitative Visual Analysis,Artificial Intelligence in Education,"The paper conducts a quantitative visual analysis of 178 articles to identify research hotspots and trends in the application of ChatGPT in higher education, highlighting current focuses and gaps in the field. It emphasizes the need for deeper exploration of ChatGPT's integration into educational practices and its impact on digital transformation, personalized learning, and educational equity."
10.1145/3706468.3706487,A Novel Approach to Scalable and Automatic Topic-Controlled Question Generation in Education,Artificial Intelligence,"The paper presents a novel Topic-Controlled Question Generation (T-CQG) method that enhances the relevance and specificity of automatically generated educational questions by fine-tuning a pre-trained T5-small model. It introduces new evaluation methods for assessing topical relatedness and demonstrates that the approach can effectively generate high-quality, topic-focused questions, offering a scalable and cost-effective solution for educational content creation without relying on large proprietary models."
10.1145/3704289.3704302,Exploration of Engineering and Design Fusion in 3E of Digital Media Technology Major Empowered by AIGC,Educational Technology,"The paper investigates the integration of generative artificial intelligence (AIGC) into the core curriculum of digital media technology, focusing on its role in overcoming challenges in engineering and design education. It presents a case study demonstrating that AIGC can enhance teaching efficiency, offering insights and recommendations for improving educational practices in digital media technology courses."
10.1145/3704289.3704293,Interdisciplinary Perspectives on Generative Artificial Intelligence Adoption in Higher Education: A Theoretical Framework Review,Artificial Intelligence in Education,"This paper reviews interdisciplinary theoretical frameworks to address the adoption of Generative Artificial Intelligence in higher education, highlighting the limitations of traditional technology acceptance models. It proposes an integrated theoretical model that incorporates emotional and ethical dimensions, aiming to guide effective and ethically aligned GenAI integration strategies in educational settings."
10.1145/3702212.3702217,Themes in the Declared Use of Generative Artificial Intelligence in Assessment,Human-Computer Interaction,"The paper investigates the use of Generative Artificial Intelligence by students in assessments, proposing a practice where students are required to declare and explain their use of such tools. This approach aims to provide insights into student interactions with AI, potentially informing future assessment design and understanding the impact of AI on educational practices."
10.1145/3685680,Generative AI Literacy: Twelve Defining Competencies,Artificial Intelligence,"The paper introduces a competency-based model for generative AI literacy, outlining twelve essential skills and knowledge areas necessary for effective interaction with generative AI. It provides a framework for embedding these competencies into educational and professional training programs to promote responsible and informed use and creation of generative AI technologies."
10.1145/3735548.3729174,"Beyond Detection: Why faculty should focus on AI literacy, not AI policing",Human-Computer Interaction,"The paper argues for a shift in higher education from relying on AI-detection tools to fostering AI literacy among students, proposing strategies to integrate AI literacy into institutional policies to promote ethical AI use and maintain academic integrity."
10.1145/3706598.3714233,DreamGarden: A Designer Assistant for Growing Games from a Single Prompt,Human-Computer Interaction,"The paper introduces DreamGarden, an AI-driven assistant for game design in Unreal Engine that uses a large language model to transform high-level prompts into detailed action plans, facilitating the creation of diverse game environments. The study explores how such a system can integrate with developer workflows and enhance human-computer interaction in game design through user feedback and iterative development."
10.1145/3672608.3707909,AI-Enhanced Learning: Comparing Outcomes in Introductory and Advanced Programming Courses,Human-Computer Interaction,"The paper investigates the effects of generative AI chatbots on student performance in programming courses, finding that advanced students benefit more than introductory students, thereby emphasizing the need for differentiated AI integration strategies based on student proficiency levels."
10.1145/3711403.3711438,Artificial Intelligence Helps Teachers Personalise Their Teaching--Take ChatGPT as an Example,Artificial Intelligence in Education,"The paper explores the potential of AI language models, specifically ChatGPT, to assist teachers in personalizing their teaching methods. It analyzes how ChatGPT can be utilized in lesson planning, instruction, and evaluation, identifies challenges in its implementation, and proposes strategies to enhance personalized teaching through AI."
10.1145/3702386.3702392,A Comparative Study of Gender Differences in the Utilization and Effectiveness of AI-Assisted Learning Tools in Programming Among University Students,Human-Computer Interaction,"The paper investigates gender differences in the usage and perceived effectiveness of AI-assisted learning tools for programming among university students, revealing preferences for specific tools like ChatGPT and identifying a positive correlation between tool usage frequency and perceived educational effectiveness. The study highlights the importance of considering gender and demographic factors in the development of AI-powered educational systems to enhance inclusivity and effectiveness in programming education."
10.1145/3708359.3712134,Can an AI Partner Empower Learners to Ask Critical Questions?,Artificial Intelligence,"The paper investigates the impact of Jill Watson, an LLM-powered conversational AI, on learners' ability to ask higher-order questions within educational settings. By analyzing over 5500 student-generated questions using Bloom's Taxonomy and a fine-tuned BERT model, the study finds that sustained interaction with Jill leads to a significant increase in the complexity of questions, suggesting that the AI partner enhances critical questioning skills and educational engagement."
10.1145/3711403.3711445,An Exploration of the Impact of Generalized Big Model Programming Educational Applications of Artificial Intelligence,Artificial Intelligence in Education,"This paper analyzes the challenges and opportunities presented by the integration of generalized big models, such as ChatGPT, in programming education. It explores how these models can shift educational objectives and content delivery, moving towards a cognitive stage that emphasizes understanding and creation in programming education."
10.1109/FIE61694.2024.10893106,"Empowering Secondary School Teachers: Creating, Executing, and Evaluating a Transformative Professional Development Course on ChatGPT",Human-Computer Interaction,"The paper developed and evaluated a professional development course for secondary school teachers focused on understanding and integrating ChatGPT into educational practices. The main contribution is demonstrating the effectiveness of active learning in enhancing teachers' technological competencies and attitudes towards large language models, thereby improving their teaching practices and professional development."
10.1109/CSEET62301.2024.10662984,Automated Programming Exercise Generation in the Era of Large Language Models,Software Engineering / Artificial Intelligence,"The paper investigates the use of large language models (LLMs) like GPT-4 and LaMDA for automating the creation of programming exercises in software engineering education, highlighting the necessity of human oversight to ensure accuracy and effectiveness. It compares these models' capabilities with GPT-3.5-turbo, identifying common error patterns and strengths, thus providing insights for educators and researchers to enhance educational practices using LLMs."
10.1109/EDUCON60312.2024.10578839,Automatic Grading of Short Answers Using Large Language Models in Software Engineering Courses,Artificial Intelligence,"The paper presents an automated grading system for short-answer questions in software engineering courses, utilizing large language models like GPT-3.5/4 to handle the open-ended nature of such questions. The system, implemented as a web-based tool, demonstrates effectiveness in grading a wide range of software engineering topics beyond coding, offering a scalable solution for educators and insights for AI-enabled education."
10.1109/ACCESS.2025.3545882,Exploring the Integration of Generative AI Tools in Software Testing Education: A Case Study on ChatGPT and Copilot for Preparatory Testing Artifacts in Postgraduate Learning,Software Engineering,"This paper investigates the integration of generative AI tools, specifically ChatGPT and Microsoft Copilot, into software testing education by comparing manually created testing artifacts with those generated by AI in a postgraduate program. The study demonstrates that while AI tools can enhance and expedite the creation of testing artifacts, they cannot fully replace manual efforts, thus highlighting the potential of AI to support active learning and better align educational practices with industry requirements."
10.1109/CSEET58097.2023.00031,Recommendations to Create Programming Exercises to Overcome ChatGPT,Educational Technology,"The paper analyzes the capabilities and limitations of GPT 3.5 and GPT 4 in solving programming exercises, categorizing them based on the models' performance. It provides recommendations to design programming exercises that reduce reliance on ChatGPT, promoting genuine skill development in programming education."
10.1109/SEENG59157.2023.00010,“We Need To Talk About ChatGPT”: The Future of AI and Higher Education,Artificial Intelligence / Education Technology,"This paper explores the implications of integrating ChatGPT into higher education, particularly in software engineering and scientific writing. It identifies five challenges and three opportunities associated with ChatGPT's use in academia and proposes strategies for its integration into educational practices."
10.1109/FIE58773.2023.10343171,An Ontology and Management System for Learning Outcomes and Student Mastery,Educational Technology,"The paper proposes a system for managing and evaluating Learning Outcomes (LO) using an ontology supported by Knowledge Graphs, which links LO with assessment items. It evaluates the effectiveness of BERT and ChatGPT in automating this process and uses student data to measure performance, aiming to enhance course quality and facilitate early intervention for student success."
10.1109/CSEET62301.2024.10663001,Leveraging Lecture Content for Improved Feedback: Explorations with GPT-4 and Retrieval Augmented Generation,Artificial Intelligence,"The paper explores the use of Retrieval Augmented Generation (RAG) to enhance feedback provided by GPT-4 for programming tasks by integrating lecture transcripts as an external knowledge source. The main contribution is demonstrating that RAG can improve feedback quality by reducing hallucinations and aligning feedback with lecture content, although the benefits vary depending on the situation due to slower feedback generation."
10.1109/ISEC61299.2024.10664825,The Penetration of Generative AI in Higher Education: A Survey,Human-Computer Interaction,"The paper investigates the adoption and impact of generative AI technologies among students in a higher education setting in Indonesia, revealing high awareness and usage rates. It highlights the integration of GenAI tools like GitHub Copilot and ChatGPT in students' learning processes, suggesting that these technologies are becoming integral to education systems and emphasizing the need for adaptation."
10.1109/ITHET61869.2024.10837650,Exploring Students' Perception and Experience with ChatGPT and Critical Thinking in a Higher Education Context,Human-Computer Interaction,"The paper investigates the perceptions and experiences of university students using ChatGPT in a higher education setting, focusing on its impact on critical thinking skills. It contributes by analyzing survey data to understand students' views on ChatGPT's role in learning, its benefits and challenges, and the trust and critical evaluation of its responses."
10.1109/ITHET61869.2024.10837649,The Impact of ChatGPT on Student Learning Experience in Higher STEM Education: A Systematic Literature Review,Human-Computer Interaction,"This paper conducts a systematic literature review to assess the impact of ChatGPT on student learning experiences in higher STEM education, highlighting its benefits such as personalized support, increased engagement, and improved learning outcomes, while also addressing ethical considerations and biases. The study underscores the transformative role of AI tools in education, advocating for a shift towards personalized learning environments and the evolving role of teachers."
10.1109/ITCEM65710.2024.00050,Research on the Effectiveness of Human-Machine Collaborative Teaching Based on Data Analysis in the Era of Digital Intelligence,Human-Computer Interaction,"The paper investigates the effectiveness of human-machine collaborative teaching strategies in a university-level software engineering course, finding that a collaborative approach enhanced by generative AI tools significantly improves academic performance and creativity. The study highlights the potential of AI-supported strategies to transform educational practices and recommends their broader adoption in higher education."
10.1109/ACCESS.2025.3554627,A Bibliometric Exposition and Review on Leveraging LLMs for Programming Education,Artificial Intelligence in Education,"This paper conducts a bibliometric analysis of research on the use of large language models (LLMs) in programming education, identifying key contributors and trends in the field. It evaluates the role of ChatGPT as a learning aid and support tool, discussing its benefits, limitations, and ethical implications, thereby contributing to the discourse on integrating AI responsibly in educational settings."
10.1109/ICSA59870.2024.00016,Can LLMs Generate Architectural Design Decisions? - An Exploratory Empirical Study,Software Engineering,"This paper explores the feasibility of using Large Language Models (LLMs) to generate Architecture Decision Records (ADRs) in software development, finding that models like GPT-4 can produce relevant design decisions in a zero-shot setting, though not at human-level performance, and suggesting that further research is needed for improvement and standardization."
10.1109/SoutheastCon52093.2024.10500042,Transformative Potentials and Ethical Considerations of AI Tools in Higher Education: Case Studies and Reflections,Artificial Intelligence in Education,"The paper explores the impact of AI tools, particularly Large Language Models like ChatGPT, on higher education through case studies in computer science and English composition. It highlights the benefits and ethical concerns of AI in education, advocating for a balanced approach where AI complements traditional teaching methods to enhance student engagement and learning outcomes."
10.1109/APSEC65559.2024.00069,Pair Programming in Programming Courses in the Era of Generative AI: Students' Perspective,Human-Computer Interaction,"The paper investigates the integration of Generative AI as a partner in pair programming within programming courses, comparing it to traditional student-student pairing. It identifies use cases and challenges, revealing that while GenAI can enhance learning, it also presents issues such as reduced engagement and learning scope, suggesting a preference for traditional pairing supplemented by GenAI."
10.1109/FIE58773.2023.10343474,Leveraging the Power of AI in Undergraduate Computer Science Education: Opportunities and Challenges,Human-Computer Interaction,"The paper explores the integration of AI tools like ChatGPT into undergraduate computer science education, identifying opportunities and challenges through a literature review and survey. It highlights the potential for AI to enhance curricula and prepare students for the workforce, while also addressing ethical concerns and the impact on teaching methods."
10.1109/CIEES62939.2024.10811132,Leveraging AI for CTF Challenge Optimization,Artificial Intelligence,"The paper investigates the use of AI, specifically OpenAI's Large Language Models, to optimize the problem-solving process in Capture the Flag (CTF) cybersecurity competitions. It demonstrates that AI can provide intelligent hints and personalized suggestions, enhancing learning outcomes and engagement, particularly for novice participants, thereby making CTF challenges more accessible and effective as educational tools."
10.1109/FIE61694.2024.10892891,"Generative AI in Education: A Study of Educators' Awareness, Sentiments, and Influencing Factors",Human-Computer Interaction,"The paper investigates university instructors' awareness and attitudes towards AI language models in education, revealing a generally positive sentiment and highlighting that while computer science educators are more confident in their technical understanding of these tools, they are not better at detecting AI-generated work compared to educators from other fields."
10.1109/EDUCON62633.2025.11016317,Enhancing Computational Thinking and Problemsolving in Programming Education Through Generative AI: A Scoped Review,Artificial Intelligence in Education,"The paper conducts a scoped review to evaluate the impact of generative AI tools, such as ChatGPT and GitHub Copilot, on enhancing computational thinking and problem-solving skills in programming education. It highlights the potential benefits of GenAI in improving immediate problem-solving abilities while also addressing ethical concerns related to originality in student work, and calls for further long-term studies to assess the comprehensive effects of GenAI on educational outcomes."
10.1109/CSEET62301.2024.10663028,Cultivating Software Quality Improvement in the Classroom: An Experience with ChatGPT,Software Engineering,"The paper explores the integration of ChatGPT and Programming Mistake Detector (PMD) in educational settings to enhance software quality through code review activities. It presents an experiment with 102 student submissions, analyzing the impact of PMD quality issues on code review acceptance and resolution time, and highlights the potential and skepticism of using LLMs like ChatGPT in improving software quality education."
10.1109/EDUCON54358.2023.10125121,Engineering Education in the Era of ChatGPT: Promise and Pitfalls of Generative AI for Education,Artificial Intelligence in Education,"The paper explores the integration of generative AI, specifically ChatGPT, into engineering education, highlighting its potential to enhance personalized learning and virtual simulations while addressing concerns about biases, misinformation, and ethical implications. It emphasizes the need for educators to adapt to these technologies to maximize benefits and mitigate drawbacks in the educational landscape."
10.1109/EDUCON62633.2025.11016616,Empowering Educators: Towards a GPT-Based Approach to Automate Unit Test Generation,Artificial Intelligence in Education,"The paper introduces a GPT-based tool that automates the generation of unit tests for programming exercises, enhancing the scalability and quality of auto-gradable assignments in online education. The tool allows educators to easily adapt exercises to specific teaching goals while ensuring comprehensive test coverage, as demonstrated by positive feedback from experienced educators and a high System Usability Scale score."
10.1109/MIPRO60963.2024.10569779,Generative Artificial Intelligence in Teaching and Learning of ICT Engineering Education: A Literature Review and Illustrative Scenarios,Artificial Intelligence in Education,"The paper conducts a comprehensive literature review on the use of Generative Artificial Intelligence in ICT engineering education, analyzing its impact on pedagogical strategies, curriculum development, and student engagement. It provides illustrative scenarios demonstrating practical applications of Gen AI in teaching programming skills and ethics, offering insights for educators and policymakers on integrating AI technologies into engineering education."
10.1109/CSEET62301.2024.10662990,A Survey Study on the State of the Art of Programming Exercise Generation Using Large Language Models,Artificial Intelligence,"The paper surveys the capabilities of Large Language Models (LLMs) in generating programming exercises, identifying their strengths and weaknesses, and proposes an evaluation matrix to assist researchers and educators in selecting suitable LLMs for this purpose. It highlights the potential of LLMs in educational contexts while addressing challenges such as the ease with which LLMs can solve exercises they generate."
10.1109/ITHET61869.2024.10837661,The NAJEH Effect: How ChatGPT is Shaping the Future of Higher Education,Artificial Intelligence,"The paper introduces NAJEH, a virtual tutor integrated with ChatGPT, into the student engagement portal and mobile application of Honoris United Universities, providing personalized learning experiences to students. The study reports high student satisfaction and frequent usage, suggesting the potential of AI-driven tools in enhancing educational experiences, with future research proposed to assess the long-term impact on academic performance and teaching efficiency."
10.1109/ICSET59111.2023.10295122,Information Seeking Behavior in ChatGPT: The Case of Programming Students from a Developing Economy,Human-Computer Interaction,"The paper investigates the information-seeking behavior of programming students using ChatGPT, particularly in a developing economy, by developing a conceptual framework and testing hypotheses through a survey. It identifies factors such as perceived ease of use, usefulness, and trustworthiness that influence the adoption of ChatGPT for programming-related information, highlighting its potential as a beneficial tool for students and educators in programming education."
10.1109/EDUCON60312.2024.10578820,The AI Companion in Education: Analyzing the Pedagogical Potential of ChatGPT in Computer Science and Engineering,Artificial Intelligence in Education,"The paper analyzes the pedagogical potential of ChatGPT in Computer Science and Engineering education by evaluating its effectiveness in handling various educational tasks. It introduces a five-factor reliability analysis framework to assess ChatGPT's performance, offering insights into its strengths and limitations, and providing guidance for educators and students on its application in educational settings."
10.1109/CSEET62301.2024.10663035,University Students' Perception and Expectations of Generative AI Tools for Software Engineering,Human-Computer Interaction,"This paper explores university students' perceptions and expectations of Generative AI tools in software engineering through a questionnaire study, revealing insights into usage preferences, perceived benefits, and challenges. The study highlights the transformative potential of these tools in software engineering education and suggests improvements for their functionality."
10.1109/ACCESS.2024.3524102,Understanding ChatGPT: Impact Analysis and Path Forward for Teaching Computer Science and Engineering,Human-Computer Interaction,"The paper evaluates the use of ChatGPT as an instructional tool in computer science and engineering education, analyzing its effectiveness and limitations in providing accurate responses to academic queries. It identifies opportunities for enhancing learning experiences with ChatGPT and suggests modifications to evaluation processes to mitigate the dissemination of incorrect information."
10.1109/ICEIT64364.2025.10975909,Design and Implementation of a Multi-Level Personalized Teaching Framework Based on LLM,Artificial Intelligence,"The paper presents a multi-level personalized teaching framework leveraging large language models (LLMs) to enhance personalized learning, optimize teaching tasks, and improve resource management in higher education. It integrates AI technologies such as Mixture of Experts, Chain-of-Thought reasoning, and dynamic prompting to provide tailored educational services, offering practical guidance for implementing AI-driven personalized teaching in universities."
10.1109/ICCA59364.2023.10401713,The Influence of ChatGPT on Student Learning and Academic Performance,Human-Computer Interaction,"The paper investigates the integration of ChatGPT in undergraduate education, examining its effects on student engagement, critical thinking, and academic performance. It highlights the need for responsible implementation and faculty training to maximize benefits while maintaining ethical standards and preserving essential skills in the educational process."
10.1109/EDUCON60312.2024.10578564,Software Development and Education: Transitioning Towards AI Enhanced Teaching,Software Engineering / Artificial Intelligence,"The paper explores the role of large language model AI tools in software development education, highlighting their benefits in improving coding efficiency and automating tasks. It identifies challenges such as customization and ethical concerns, and offers recommendations for integrating AI into teaching practices to enhance learning experiences."
10.1109/EDUCON60312.2024.10578884,ChatGPT in the Classroom: A Shift in Engineering Design Education,Human-Computer Interaction,"This paper investigates the integration of ChatGPT into an Electrical Engineering Design course, highlighting its role in aiding students with design solutions and understanding. The study assesses the impact of AI tools on student learning and explores their potential as supportive educational resources in engineering education."
10.1109/FIE61694.2024.10893132,GAIDE: A Framework for Using Generative AI to Assist in Course Content Development,Educational Technology,"The paper introduces GAIDE, a framework for integrating Generative AI into educational content development, aiming to streamline the process for educators and enhance the quality of instructional materials. It provides a systematic approach to leveraging GenAI in curriculum design, reducing workload, and fostering dynamic and engaging educational content, while also addressing academic integrity and student engagement challenges."
10.1109/CSCI62032.2023.00278,ChatGPT Implications on Higher Education: Educational Apocalypse or Educational Reboot? A Developing Countries Perspective,Artificial Intelligence,"The paper examines the impact of ChatGPT, a Large Language Model, on higher education, particularly in developing countries, by analyzing its potential to transform teaching methods, enhance student engagement, and streamline administrative tasks. It discusses whether ChatGPT represents a threat or an opportunity for educational systems and provides recommendations for its effective integration into higher education."
10.1109/CONISOFT63288.2024.00048,Exploring LLM Tools Through the Eyes of Industry Experts and Novice Programmers,Human-Computer Interaction,"The paper investigates the perspectives of software engineering students and professional software engineers on the use of Large Language Model (LLM) tools, such as ChatGPT™, in software development projects. By employing a questionnaire and graphical analysis, the study aims to enhance understanding of how these tools are perceived in educational and industry contexts, potentially influencing educational practices and industry standards."
10.1109/ITME63426.2024.00174,Exploration of the Reform of Programming Courses Based on Generative AI,Artificial Intelligence in Education,"The paper proposes a reform model for programming courses that integrates generative AI to enhance educational quality and student learning efficiency. It utilizes CiteSpace to analyze AI's role in education and suggests using generative AI for personalized learning, automatic evaluation, and intelligent content generation."
10.1145/3597503.3639187,Using an LLM to Help with Code Understanding,Human-Computer Interaction,"The paper investigates the use of a large language model (LLM)-based conversational interface integrated into an IDE to assist with code understanding. It introduces a plugin that allows users to query OpenAI's GPT-3.5-turbo model for code explanations, API details, domain-specific term definitions, and usage examples without explicit prompts, demonstrating through a user study that this approach enhances task completion compared to traditional web searches."
10.1109/ISCSIC64297.2024.00064,JavaLLM: A Fine-Tuned LLM for Java Programming Education,Artificial Intelligence,"The paper presents JavaLLM, a fine-tuned large language model specifically designed for Java programming education, which improves code generation and Java-specific question answering. By leveraging high-quality Java datasets, JavaLLM enhances personalized learning experiences in programming courses, demonstrating the potential of AI to transform educational methodologies."
10.1109/ACCESS.2025.3541424,Generative AI in Engineering and Computing Education: A Scoping Review of Empirical Studies and Educational Practices,Artificial Intelligence in Education,"This paper conducts a scoping review of 146 empirical studies to analyze the integration of generative AI tools in engineering and computing education, highlighting methodologies, strategies, and educational practices. The main contribution is providing a roadmap for educators to enhance teaching methodologies by incorporating GenAI, focusing on AI literacy and its impact on learning outcomes across cognitive, affective, and behavioral domains."
10.1109/EDUCON60312.2024.10578838,Evaluating the Application of Large Language Models to Generate Feedback in Programming Education,Artificial Intelligence,"The paper explores the use of GPT-4, a large language model, to generate feedback for programming tasks in educational settings. It presents a web application designed to provide non-solution-based feedback, evaluated with 51 students, demonstrating effective error correction while highlighting challenges with incorrect suggestions and hallucinations, suggesting areas for improvement."
10.1109/IISA59645.2023.10345949,Is ChatGPT Beneficial to Education? A Holistic Evaluation Framework Based on Intelligent Tutoring Systems,Artificial Intelligence in Education,"The paper introduces a holistic evaluation framework for assessing the educational impact of ChatGPT, integrating it with Intelligent Tutoring Systems (ITS). This framework considers both soft and hard skills, leveraging existing ITS research to evaluate ChatGPT's effectiveness and potential benefits in diverse educational contexts."
10.1109/MIS.2023.3255599,Rethinking Homework in the Age of Artificial Intelligence,Artificial Intelligence,"The paper evaluates the performance of ChatGPT on university-level coursework, finding that it achieves near-perfect grades in introductory courses but struggles with advanced ones. It highlights the potential threat of AI tools in education, as current detection methods can be easily circumvented, urging educational institutions to address these challenges."
10.1109/CONCAPAN63470.2024.10933867,Improving the Efficacy of an Automated Judging System in an Introductory Programming Class using a Large Language Model,Educational Technology,"The paper enhances an automated judging system for an introductory programming class by integrating a Large Language Model to generate new exercises, recommend tasks based on student performance, and provide detailed feedback, thereby improving students' learning experiences and self-efficacy."
10.1109/ICWR65219.2025.11006172,Assessing Large Language Models as Agile Scrum Masters: A Comparative Study of Project Planning Efficiency,Artificial Intelligence,"The paper evaluates the effectiveness of large language models (LLMs) as Agile Scrum Masters by comparing their project planning capabilities against human experts. It finds that while LLMs can enhance efficiency and scalability in structured environments, they lack the adaptability and human-centric qualities necessary for dynamic project management, suggesting their role as complementary tools rather than replacements."
10.1109/SIIE59826.2023.10423681,Integration of Large Language Models into Higher Education: A Perspective from Learners,Human-Computer Interaction,"The paper investigates student perspectives on the integration of large language models (LLMs) into higher education, analyzing survey data from two universities to propose a strategy that accommodates diverse student preferences and promotes educational benefits such as creativity, academic honesty, and critical evaluation of information."
10.1049/icp.2023.1537,ChatGPT's use case for software engineers,Human-Computer Interaction,"The paper investigates the application of ChatGPT for software engineering students, analyzing its effectiveness in solving coding questions, fixing bugs, and understanding mathematical logic, ultimately providing insights on how software engineers can leverage ChatGPT to enhance their careers."
10.1109/EDUNINE62377.2025.10981409,Adapting Program Assessment for the Age of Generative AI,Education Technology,"The paper examines the impact of generative AI tools on student problem-solving in STEM education and proposes adaptations to program assessment practices to better reflect student outcomes. It provides a summary of current literature, suggests modifications to assessment strategies aligned with ABET accreditation, and offers practical examples and recommendations for integrating AI considerations into educational assessments."
10.1109/ITHET61869.2024.10837643,Mapping the Educational Revolution: A Bibliometric Analysis of ChatGPT's Impact on Teaching and Learning,Artificial Intelligence in Education,"The paper conducts a bibliometric analysis of research on ChatGPT's impact on education, highlighting its role in enhancing learner engagement and personalizing learning. It identifies key research trends, contributors, and ethical considerations, emphasizing the need for responsible AI integration in educational settings."
10.1109/EDUCON60312.2024.10578655,Shaping the Future: A Cross-Disciplinary Journey in Design and Technology Integration,Human-Computer Interaction,"The paper presents an innovative educational approach within an Informatics and Design program that integrates computer science and design education, focusing on a project involving chatbot creation using Natural Language Processing and Large Language Models. The main contribution is demonstrating how a balanced, cross-disciplinary curriculum can enhance students' understanding and skills, preparing them for the evolving digital technology landscape by emphasizing human-centered design and continuous learning."
10.1109/FIE61694.2024.10893165,A Systematic Evaluation of Code-generating Chatbots for Use in Undergraduate Computer Science Education,Human-Computer Interaction,"The paper systematically evaluates the capabilities and limitations of code-generating chatbots in the context of undergraduate computer science education, finding that while these tools can assist novice programmers, they should be introduced only after foundational skills are mastered. The study highlights the importance of understanding chatbot limitations and ethical considerations before integrating them into curricula."
10.1109/ACCESS.2025.3530474,Automated Generation of Multiple-Choice Questions for Computer Science Education Using Conditional Generative Adversarial Networks,Artificial Intelligence,"The paper introduces a method for generating multiple-choice questions for computer science education using Conditional Generative Adversarial Networks (cGANs). It contributes a versatile framework that produces diverse and contextually relevant MCQs across various proficiency levels and topics, enhancing educational assessments while ensuring fairness and transparency."
10.1109/BotSE59190.2023.00008,Navigating Complexity in Software Engineering: A Prototype for Comparing GPT-n Solutions,Software Engineering,"The paper introduces ""GPTCOMPARE,"" a prototype tool designed to help programmers visually compare multiple source code solutions generated by GPT-n models for the same query. Its main contribution is providing a user-friendly interface that highlights the similarities and differences between solutions, facilitating more informed decision-making in software engineering tasks."
10.1109/EDUCON62633.2025.11016470,AI Literacy: Evaluation of an AI Literacy Course for Engineers,Artificial Intelligence Education,"The paper presents the development and evaluation of a project-based, self-directed learning module on AI literacy for engineering students, aiming to enhance their understanding of AI's role in programming and writing, while fostering critical thinking about AI's societal impacts. The main contribution is demonstrating the necessity of structured educational formats to equip students with the skills and critical awareness needed to navigate AI technologies effectively."
10.1109/IDAP64064.2024.10710971,Academic Use of ChatGPT: Examining the Trends According to Disciplines,Human-Computer Interaction,"The paper systematically examines academic publications related to ChatGPT to identify which disciplines have widely adopted this technology and where intensive research is conducted, revealing that fields such as Medical Sciences, Computer Sciences, and Education Sciences are leading in usage and citations. The study highlights the interdisciplinary knowledge flow facilitated by ChatGPT, demonstrating its broad acceptance and impact across various academic fields."
10.1109/ITT59889.2023.10184267,Artificial Intelligence in Education: An Argument of Chat-GPT Use in Education,Artificial Intelligence in Education,"The paper explores the application of ChatGPT, a generative AI technology, in educational settings, evaluating its performance in educator-learner interactions. It discusses the benefits and drawbacks of using ChatGPT in classrooms and emphasizes the need for educators to understand its implications and adapt educational strategies accordingly."
10.1109/EDUCON60312.2024.10578712,Does Industry 5.0 Need an Engineering Education 5.0? Exploring Potentials and Challenges in the Age of Generative AI,Human-Computer Interaction,"The paper investigates the integration of Generative AI into engineering education, proposing the concept of Engineering Education 5.0. It presents survey results from a faculty to identify challenges and opportunities, advocating for curricula that incorporate AI literacy and foster skills like critical thinking and collaboration to prepare students for Industry 5.0."
10.1109/UPCON62832.2024.10983088,Analyzing Student Engagement With ChatGPT: A Data-Analysis Perspective,Human-Computer Interaction,"The paper analyzes student engagement with ChatGPT in educational settings, finding that a majority of students view it positively for enhancing productivity and learning, while also emphasizing the need for ethical guidelines and data transparency to mitigate potential risks."
10.1109/EDUCON62633.2025.11016655,Do Large Language Models Require Prior Knowledge for Learning? A Preliminary Study,Human-Computer Interaction,"The paper investigates the role of prior knowledge in the effectiveness of using large language models (LLMs) as educational tools, specifically examining how familiarity with LLMs and related topics affects learning outcomes. The study found that prior knowledge of LLMs enhances learning, while prior knowledge of related topics may reduce the learning effect, using Microsoft Copilot and Büchi automata as a case study."
10.1109/COMPSAC61105.2024.00252,Students' Perspectives on AI Code Completion: Benefits and Challenges,Human-Computer Interaction,"The paper investigates the benefits and challenges of AI code completion tools from the perspective of computer science students, using a custom-built Visual Studio Code extension as a research instrument. It highlights that while AI code completion can enhance productivity and serve as a coding tutor, it may also lead to over-reliance and hinder deeper understanding and creativity, suggesting the need for explainable AI and best practices in educational contexts."
10.1109/CSEET62301.2024.10662997,Assessing Software Development Competences Constructively Aligned in an Open-Web Format,Software Engineering,"The paper explores an assessment format for evaluating software development competences that aligns with professional practices by allowing students to program using their own devices and access the web freely. It shares experiences and best practices for implementing this ""Bring Your Own Device, Open Book, Open Web"" exam type and discusses the implications of large language models on such assessments."
10.1109/EDUCON62633.2025.11016517,Evaluating the Impact of Assistive AI Tools on Learning Outcomes and Ethical Considerations in Programming Education,Human-Computer Interaction,"The paper evaluates the impact of GitHub Copilot on learning outcomes in low-level programming education, revealing that while AI tools can enhance productivity in routine tasks, they may hinder the development of independent problem-solving skills. It highlights the need for structured instructional practices and ethical guidelines to balance AI integration in education, contributing to educational theory by examining the limitations of AI within constructivist learning frameworks."
